                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97113,                 2.9525,                 1.4653,                0.00317,                      1,                0.48321,                0.36403,                0.69226,                 3.5218,                 1.5213,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                0.72588,                  2.721,                 1.2587,                0.00351,                      1,                0.54708,                0.37838,                0.65698,                 3.4542,                  1.518,             9.2602e-05,             9.2602e-05,             9.2602e-05
