                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79815,                 2.6359,                 1.2423,                0.00357,                      1,                 0.8089,                0.66858,                0.52382,                 2.9157,                 1.0661,             0.00020004,             0.00020004,             0.00020004
                      2,                0.69805,                 1.5964,                 1.1568,                      1,                 0.1973,                0.85539,                 0.6991,                0.55882,                 2.6694,                 1.0709,             0.00021046,             0.00021046,             0.00021046
